id,description,en,fr
advancedSearch.status,Label for status field,Status of record,Statut de l'enregistrement
advancedSearch.trackingId,Label for tracking ID field,Tracking ID,ID de suivi
advancedSearch.updatedAt,Label for date of update field,Time period,Période
advancedSearch.updatedAt.helperText,Helper text for date of update field,Period of time since the record status changed,Période écoulée depuis le changement de statut de l'enregistrement
advancedSearchResult.pill.event,The label for event param in active advancedSearchParams,Event,Événement
advancedSearchResult.pill.gender,The label for gender in active advancedSearchParams,Sex,Le genre
advancedSearchResult.pill.trackingId,The label for tracking id in active advancedSearchParams,Tracking ID,Identifiant de suivi
advancedSearchResult.table.noResult,The label for no result in advancedSearchResult page,No result,Pas de résultat
birth.search.criteria.label.prefix.child,Child prefix,Child's,De l'enfant
birth.search.criteria.label.prefix.father,Father prefix,Father's,Du père
birth.search.criteria.label.prefix.informant,Informant prefix,Informant's,Du déclarant
birth.search.criteria.label.prefix.mother,Mother prefix,Mother's,De la mère
buttons.add,Add button text on form config,Add,Ajouter
buttons.apply,Apply button label,Apply,Appliquer
buttons.approve,Approve button text,Approve,Approuver
buttons.archive,Archive button text,Archive,Archiver
buttons.assign,Assign button label,Assign,Affecter
buttons.back,Back button text,Back,Retour
buttons.cancel,Cancel button text in the modal,Cancel,Annuler
buttons.change,The label for the change button,Change,Modifier
buttons.changeAll,The label for the change all button,Change all,Changer tous
buttons.closeDeclaration,Close declaration button text,Close declaration,Clôturer la déclaration
buttons.configure,Configure button text,Configure,Paramétrer
buttons.confirm,Confirm button,Confirm,Confirmer
buttons.continue,Continue Button Text,Continue,Continuer
buttons.copied,Copied button text,Copied,Copié
buttons.copy,Copy button text,Copy,Copier
buttons.correctRecord,Rectord correction button text,Correct record,Correct record
buttons.create,Label for submit button of client integration creation form,Create,Créer
buttons.delete,Delete button,Delete,Supprimer
buttons.deleteDeclaration,Delete declaration button text,Delete declaration,Supprimer la déclaration
buttons.edit,Edit button text,Edit,Modifier
buttons.editRecord,Correct record button text on review certificate,"No, make correction","Non, faites la correction"
buttons.editRegistration,Edit registration button text,Edit registration,Modifier l'enregistrement
buttons.exactDateUnknown,Label for DateRangePickerForFormField components daterangepicker toggle button,Exact date unknown,Date exacte inconnue
buttons.exit,Label for Exit button on EventTopBar,Exit,Quitter
buttons.finish,The label for finish printing certificate button,Finish,Terminer
buttons.forgotPassword,The label for forgot password button,Forgot password,Mot de passe oublié
buttons.forgottenPIN,The label for forgotten pin button,Forgotten pin,Code d'accès oublié
buttons.goToHomePage,Label for Go to Homepage button,Back to home,Retour à la page d'accueil
buttons.goToReview,Go to review button text,Go to review,Aller à la révision
buttons.issue,Button for issuing,Issue,Délivrer
buttons.login,Login button on session expire modal,Login,Connexion
buttons.logout,logout title,Logout,Déconnexion
buttons.makeCorrection,Make correction button text on correction summary,Make correction,Faire une correction
buttons.next,The label for next button,Next,Suivant
buttons.no,No button text,No,Non
buttons.preview,Preview button,Preview,Aperçu
buttons.print,Print button text,Print,Imprimer
buttons.printDeclaration,,Print declaration,Imprimer la déclaration
buttons.publish,Publish button text on form config,Publish,Publier
buttons.refresh,Refresh button,Refresh,Rafraîchir
buttons.register,Label for button on register confirmation modal,Register,Enregistrer
buttons.reinstate,Label for reinstate button,Reinstate,Rétablir
buttons.reject,A label for reject link,Reject,Rejeter
buttons.rejectDeclaration,Reject declaration button text,Reject declaration,Rejeter la déclaration
buttons.replace,Label for replacing the whole section in review form,Change all,Modifier tout
buttons.retry,The title of retry button for failed declaration,Retry,Réessayer
buttons.review,Review button text,Review,Reviser
buttons.save,Save Button Text,Save,Sauvegarder
buttons.saveAndExit,Save & exit Button Text,Save & Exit,Sauvegarder et quitter
buttons.saveExit,The label for the save and exit button,Save & Exit,Enregistrer et quitter
buttons.saving,Saving Button Text,Saving...,Sauvegarde en cours
buttons.search,The title of search input submit button,Search,Rechercher
buttons.select,The select title,Select,Sélectionnez
buttons.send,Submit button on submit modal,Confirm,Soumettre
buttons.sendForApproval,Title for complete submit button,Send for approval,Envoyer pour approbation
buttons.sendForReview,Submit Button Text,Send for review,Envoyer pour révision
buttons.sendForUpdates,,Send for updates,Envoyer pour les mises à jour
buttons.sendIncomplete,Title for Incomplete submit button,Send for review,Envoyer pour révision
buttons.settings,Menu item settings,Settings,Paramètres
buttons.start,Label of start button,Start,Démarrer
buttons.status,Label of status button,Status,Statut
buttons.submitCorrectionRequest,Submit correction request button text,Submit correction request,Soumettre une demande de correction
buttons.unarchive,Unarchive button text,Unarchive,Désarchiver
buttons.unassign,Unassign button label,Unassign,Désaffecter
buttons.update,The title of update button for draft declaration,Update,Mise à jour
buttons.upload,Upload buttton,Upload,Télécharger
buttons.verify,Label for verify password button,Verify,Vérifier
buttons.view,Label for link button view,View,Voir
buttons.yes,Yes button text,Yes,Oui
certificate.parent.details.label.age,Person age,Age,L'âge
certificate.parent.details.label.dateOfBirth,Parent Date of Birth,Date of Birth,Date de naissance
certificate.parent.details.label.familyName,Parent last name,Last name,Nom
certificate.parent.details.label.firstName,Parent first names,First name(s),Prénom(s)
certificate.parent.details.label.nationality,Parent Nationality,Nationality,Nationalité
certificate.parent.details.label.number,Parent number,Number,Numéro
certificates.birth.certificate,Birth Certificate,Birth Certificate,Acte de naissance
certificates.birth.certificate.copy,Birth Certificate Certified Copy,Birth Certificate Certified Copy,Copie certifiée conforme de l'acte de naissance
certificates.birth.registration.receipt,Birth Registration Receipt,Birth Registration Receipt,Reçu d'enregistrement de naissance
certificates.death.certificate,Death Certificate,Death Certificate,Certificat de décès
certificates.death.certificate.copy,Death Certificate Certified Copy,Death Certificate Certified Copy,Copie certifiée conforme du certificat de décès
certificates.marriage.certificate,Marriage Certificate,Marriage Certificate,Acte de mariage
certificates.marriage.certificate.copy,Marriage Certificate Certified Copy,Marriage Certificate Certified Copy,Copie certifiée conforme de l'acte de mariage
changeEmail.validation.msg,Phone number validation message,Must be a valid email address,Doit être une adresse e-mail valide
changeModal.continue,The label for continue button of change modal,Continue,Continuer
changeModal.description,The description for change modal,A record will be created of any changes you make,Un enregistrement sera créé pour toute modification que vous apporterez
changeModal.title,The title for change modal,Edit declaration?,Modifier la déclaration ?
changePhone.validation.msg,Phone number validation message,Must be a valid 10 digit number that starts with 0,Doit être un numéro valide à {num} chiffres qui commence par {start}.
config.advanced.search,This is used for the advanced search,Advanced Search,Recherche avancée
config.advanced.search.instruction,This is used for the advanced search,Select the options to build an advanced search. A minimum of two search parameters is required.,Sélectionnez les options pour construire une recherche avancée. Un minimum de deux paramètres de recherche est requis.
config.certificate.options,Show options,Options,Options
config.emailAllUsers.modal.supportingCopy,Label for send email all users confirmation supporting copy,User will receive emails over the next 24 hours,L'utilisateur recevra des courriels au cours des prochaines 24 heures
config.emailAllUsers.modal.title,Label for send email all users confirmation title,Send email to all users?,Envoyer un e-mail à tous les utilisateurs ?
config.emailAllUsers.subtitle,Subtitle for email all users,This email will be sent to all users who are active. Emails will be sent over the next 24 hours. Only one email can be sent per day,Cet e-mail sera envoyé à tous les utilisateurs qui sont actifs. Les courriels seront envoyés au cours des prochaines 24 heures. Un seul courriel peut être envoyé par jour
config.emailAllUsers.title,Title for email all users,Email all users,Envoyer un e-mail à tous les utilisateurs
config.userRoles.language,Language name,"{language, select, en {English} fr {French} other {{language}}}","{language, select, en {Anglais} fr {Français} other {{language}}}"
configuration.dateFormat,Default format for date values,d MMMM y,d MMMM y
configuration.timeField.outputFormat,Default output format for time fields,hh:mm a,hh:mm a
configuration.timeFormat,Default time format for timestamps,"MMMM dd, yyyy · hh.mm a","MMMM dd, yyyy · hh.mm a"
conflicts.modal.assign.description,Description for modal when assign,Please note you will have sole access to this record. Please make any updates promptly otherwise unassign the record.,"Veuillez noter que vous aurez un accès exclusif à cet enregistrement. Veuillez effectuer rapidement les mises à jour éventuelles, sinon vous désassignez l'enregistrement."
conflicts.modal.assign.title,Title for modal when assign,Assign record?,Attribuer un enregistrement ?
conflicts.modal.regUnassign.description,Description for modal when registrar wants to unassign an assigned user,{name} at {officeName} currently has sole editable access to this record. Unassigning this record will mean their current edits will be lost. Please confirm you wish to continue.,"{name} de {officeName} a actuellement le seul accès éditable à cet enregistrement. Si vous désassignez cet enregistrement, ses modifications actuelles seront perdues. Veuillez confirmer que vous souhaitez continuer."
conflicts.modal.selfUnassign.description,Description for modal when user wants to unassign him/herself,Unassigning this record will mean that any current edits will be lost. Please confirm you wish to continue.,La désaffectation de cet enregistrement entraînera la perte de toutes les modifications en cours. Veuillez confirmer que vous souhaitez continuer.
conflicts.modal.unassign.title,Title for modal when unassign record,Unassign record?,Désaffecter l'enregistrement ?
constants.PIN,PIN label,PIN,Code Pin
constants.address,Label for address,Address,Adresse
constants.ageVerificationApiUser,The description for AGE_VERIFICATION_API_USER role,Age verification API service,Service API de vérification de l'âge
constants.apiUser,The description for API_USER role,API User,Utilisateur API
constants.assignRecord,A label for the Assign record -button,Assign record,Affecter un enregistrement
constants.audit,Label for the audit header,Audit,Audit
constants.birth,A label from the birth event,Birth,Naissance
constants.by,Label for By (the person who performed the action),By,Par
constants.certificationPaymentTitle,Label for certification payment performance reports,"Payment collected for {event, select, birth{birth} death{death} other{birth}} certificates","Paiement perçu pour les certificats {event, select, birth{birth} death{death} other{birth}}."
constants.certified,A label for certified,certified,certifié
constants.cha,The description for CHA type,CHA,CHA
constants.chairman,The description for CHAIRMAN type,Chairman,Président
constants.collected,The status label for collected,Collected,Collecté par
constants.collectedBy,The collected by sec text,Collected by,Collecté par
constants.comment,Label for rejection comment,Comment,Commentaire
constants.communityLeader,The description for Community Leader type,Community Leader,Chef de communauté
constants.countryName,Name of the OpenCRVS implementation country,Farajaland,Farajaland
constants.customTimePeriod,Label for Custom time period,Custom time period,Période personnalisée
constants.dataEntryClerk,The description for DATA_ENTRY_CLERK type,Data entry clerk,Commis à la saisie des données
constants.dateOfDeclaration,Date of declaration label,Date of declaration,Date de la déclaration
constants.death,A label from the death event,Death,Décès
constants.declaration,A label for declaration,declaration,Déclaration
constants.declarationCollectedOn,Label for the workflow timestamp when the status is collected,Certificate collected on,Certificat collecté le
constants.declarationFailedOn,Label for the workflow timestamp when the status is failed,Failed to send on,Échec de l'envoi le
constants.declarationRegisteredOn,Label for the workflow timestamp when the status is registered,Registered on,Enregistré le
constants.declarationRejectedOn,Label for the workflow timestamp when the status is rejected,Declaration rejected on,Déclaration rejetée le
constants.declarationSentForExternalValidationOn,Label for the workflow timestamp when the status is waiting_validation,Declaration sent for external validation on,Déclaration envoyée pour validation externe le
constants.declarationStarted,Label for table header column Declaration started,Started,Déclaration commencée
constants.declarationStartedOn,Label for the workflow timestamp when the status is draft created,Started on,initiée le
constants.declarationState,A label to describe when the declaration was actioned on,Declaration {action} on,Déclaration {action} le
constants.declarationSubmittedOn,Label for the workflow timestamp when the status is declaration,Declaration submitted on,Déclaration soumise le
constants.declarationUpdatedOn,Label for the workflow timestamp when the status is draft updated,Updated on,Mise à jour le
constants.declarationValidatedOn,Label for the workflow timestamp when the status is validated,Declaration reviewed on,Déclaration révisée le
constants.declarations,Declaration title,Declarations,Déclarations
constants.districtRegistrar,The description for DISTRICT_REGISTRAR role,District Registrar,Officier d'état civil de district
constants.dnrpc,The description for DNRPC type,DNRPC,DNRPC
constants.dob,Date of birth label,D.o.B.,D.o.B.(Date de naissance)
constants.dod,Label for DoD in work queue list item,D.o.D.,D.o.D. (date de décès)
constants.downloaded,Label for application download status Downloaded,Downloaded,Téléchargé
constants.downloading,Label for declaration download status Downloading,Downloading...,Téléchargement...
constants.draft,A label for draft,Draft,Brouillon
constants.duplicateOf,table header for `duplicate of` in record audit,Duplicate of,Duplicata de
constants.emailAddress,Email label,Email Address,Adresse e-mail
constants.emailBody,Label for email body input,Message,Message
constants.emailSubject,Label for email subject input,Subject,Sujet
constants.entrepeneur,The description for ENTREPENEUR type,Entrepeneur,Entrepeneur
constants.event,Label for Event of event in work queue list item,Event,Événement
constants.eventDate,Label for event date in list item,Date of event,Date de l'événement
constants.eventType,Label for table header column Event type,Event,évènement
constants.export,Label used for export,Export,Export
constants.failedToSend,Label for declaration status Failed,Failed to send,Echec de l'envoi
constants.female,The duplicates text for female,Female,Femme
constants.femaleOver18,Label for femaleOver18,Female Over 18,Femme de plus de 18 ans
constants.femaleUnder18,Label for femaleUnder18,Female Under 18,Femme de moins de 18 ans
constants.fieldAgent,The description for FIELD_AGENT role,Field Agent,Agent de terrain
constants.from,Label for text From,From,De
constants.gender,Gender label,Gender,Sexe
constants.healthDivision,The description for HEALTH_DIVISION type,Health Division,Division de la santé
constants.healthcareWorker,The description for Healthcare Worker type,Healthcare Worker,Travailleur de la santé
constants.history,History heading,History,Histoire
constants.humanName,Formatted full name,{firstName} {middleName} {lastName},{firstName} {middleName} {lastName}
constants.id,ID Label,ID,ID
constants.informant,Informant Label,Informant,Informateur
constants.informantContactNumber,The title of contact number label,Informant contact number,Numéro de contact de l'informateur
constants.issuedBy,The issued by sec text,Issued by,Délivré par
constants.label.action,Action Label,Action,Action
constants.label.date,Date Label,Date,Date
constants.language,language label,Language,Langue
constants.last12Months,Label for preset date range Last 12 months,Last 12 months,12 derniers mois
constants.last30Days,Label for  preset date range Last 30 days,Last 30 days,30 derniers jours
constants.lastEdited,Label for rejection date in work queue list item,Last edited,Dernière édition
constants.lastUpdated,Label for Last updated in list item,Last update,Dernière mise à jour
constants.localRegistrar,The description for LOCAL_REGISTRAR role,Registrar,Officier d'état civil de district
constants.location,Label for location,Location,Situation géographique
constants.male,The duplicates text for male,Male,Homme
constants.maleOver18,Label for maleOver18,Male Over 18,Homme de plus de 18 ans
constants.maleUnder18,Label for maleUnder18,Male Under 18,Homme Moins de 18 ans
constants.marriage,A label from the marriage event,Marriage,Mariage
constants.matchedTo,table header for `Matched to` in record audit,Matched to,Apparié à
constants.mayor,The description for MAYOR type,Mayor,Maire
constants.month,Label for month,Month,Mois
constants.name,Name label,Name,Nom
constants.nationalRegistrar,The description for NATIONAL_REGISTRAR role,National Registrar,Administrateur civil
constants.nationalSystemAdmin,The description for System admin (national),National System Admin,Administrateur du système national
constants.noConnection,No Connection hover text,No connection,Pas de connexion
constants.noNameProvided,Label for empty title,No name provided,Aucun nom fourni
constants.noResults,Text to display if the search return no results for the current filters,No result,Aucun résultat
constants.notificationApiUser,The description for NOTIFICATION_API_USER role,Notification API role,Rôle de l'API de notification
constants.orgDivision,The description for ORG_DIVISION type,ORG Division,Division ORG
constants.over5Years,Label for registrations over 5 years,Over 5 years,Plus de 5 ans
constants.password,Password label,Password,Mot de passe
constants.pendingConnection,Label for declaration status Pending Connection,Pending connection,Connexion en attente
constants.performance,Performance title,Performance,Performance
constants.performanceManagement,The description for Performance Management role,Performance Manager,Responsable de la performance
constants.phoneNumber,Phone label,Phone number,Numéro de téléphone
constants.policeOfficer,The description for Police Officer type,Police Officer,Agent de police
constants.reason,Label for Reason the declaration was rejected,Reason,Raison
constants.record,Label for header table header Record,Record,Dossier
constants.refresh,label for refresh,refresh,Rafraîchir
constants.registered,A label for registered,Registered,Enregistré
constants.registeredAt,Label for comparison row registeredAt type,Registered at,Enregistré à
constants.registeredBy,Label for comparison row registeredBy type,Registered by,Enregistré par
constants.registrationAgent,The description for REGISTRATION_AGENT role,Registration Agent,Agent d'enregistrement
constants.rejected,A label for rejected,rejected,rejeté
constants.rejectedDays,The title of rejected days of declaration,Rejected {text},Rejeté {text}
constants.relationship,Relationship Label for death,Relationship,Relation
constants.review,A label from the review button,Review,Examen
constants.role,Role label,Role,Rôle
constants.search,The title of the page,Search,Recherche
constants.secretary,The description for SECRETARY type,Secretary,Secrétaire
constants.sending,Label for declaration status Submitting,Sending...,Envoi...
constants.sentForApproval,label for sent for approval,Sent for approval,Envoyé pour approbation
constants.sentForReview,label for sent for review,Sent for review,Envoyé pour révision
constants.sentOn,Label for rejection date in work queue list item,Sent on,Envoyé le
constants.sent_incomplete,Declaration submitted without completing the required fields,Sent incomplete,Envoyé incomplet
constants.showMore,Label for show more link,Show next {pageSize},Afficher la page suivante {pageSize}
constants.skipToMainContent,Label for a keyboard accessibility link which skips to the main content,Skip to main content,Sauter au contenu principal
constants.socialWorker,The description for Hospital Clerk type,Hospital Clerk,Commis d'hôpital
constants.startedBy,Label for Started by in list item,Started by,Initié par
constants.stateRegistrar,The description for STATE_REGISTRAR role,State Registrar,Administrateur civil
constants.status,Title for column,Status,Statut
constants.submissionStatus,Label for table header of column Submission status,Submission status,Statut de soumission
constants.submitted,A label for submitted,submitted,soumis
constants.timeFramesTitle,Header for tabel performance timeframs,"{event, select, birth{Birth} death{Death} other{Birth}} registered by time period, from date of occurrence","{event, select, birth{Birth} death{Death} other{Birth}} enregistré par période, à partir de la date de l'événement"
constants.timePeriod,A label for Time period,Time period,Période de temps
constants.to,Used in sentence,to,jusqu'à
constants.toCapitalized,Label for To,To,Jusqu'à
constants.total,Label for total,Total,Total
constants.trackingId,Search menu tracking id type,Tracking ID,ID de suivi
constants.type,Label for type of event in work queue list item,Type,Type
constants.update,The title of reject button in list item actions,Update,Mise à jour
constants.updated,Application has been updated,Updated,Mise à jour de
constants.user,The name of the user form,User,Utilisateur
constants.user.role,,Role,Rôle
constants.username,Username,Username,Nom d'utilisateur
constants.validated,A label for validated,validated,validés
constants.validatorApiUser,The description for VALIDATOR_API_USER role,Validator API role,Rôle de l'API du validateur
constants.waitingToSend,Label for declaration status Ready to Submit,Waiting to send,En attente d'envoi
constants.waitingValidated,A label for waitingValidated,Waiting for validation,En attente de validation
constants.week,Label for week,Week,Semaine
constants.within1YearTo5Years,Label for registrations within 1 year to 5 years,1 year - 5 years,1 an - 5 ans
constants.withinTargetDays,Label for registrations within {registrationTargetDays} days,Within {registrationTargetDays} days,Dans les {registrationTargetDays} jours
constants.withinTargetDaysTo1Year,Label for registrations within {registrationTargetDays} days to 1 year,{registrationTargetDays} days - 1 year,{registrationTargetDays} jours - 1 an
correction.correctRecordDialog.description,The description for the dialog when record correction sent by a registrar,Approving this correction will permanently update the official record.,L'approbation de cette correction mettra définitivement à jour le registre officiel.
correction.correctRecordDialog.title,The title for the dialog when record correction sent by a registrar,Correct record?,enregistrement correct?
correction.correctionForApprovalDialog.actions.cancel,The cancel button for the dialog when record correction sent by registration agent for approval,Cancel,Annuler
correction.correctionForApprovalDialog.actions.send,The send button for the dialog when record correction sent by registration agent for approval,Confirm,Confirmer
correction.correctionForApprovalDialog.description,The description for the dialog when record correction sent by registration agent for approval,This will initiate a formal correction request for the selected record. Supporting documentation may be required.,Cela initiera une demande officielle de correction pour l'enregistrement sélectionné. Des documents justificatifs peuvent être exigés.
correction.correctionForApprovalDialog.title,The title for the dialog when record correction sent by registration agent for approval,Request record correction?,Demander une correction de l'enregistrement ?
correction.correctionReject.description,The description for reject correction modal,Rejecting this correction request will leave the original record unchanged. A reason for rejection should be provided.,Le rejet de cette demande de correction laissera le registre officiel inchangé. Un motif de rejet doit être fourni.
correction.correctionReject.reason,Correction request rejection reason,Reason for rejection,Motif du rejet
correction.correctionRequest,Correction request text,Correction request,Demande de correction
correction.corrector.anotherAgent,Label for another registration or field agent option in certificate correction form,Another registration agent or field agent,Un autre agent d'enregistrement ou un agent de terrain
correction.corrector.child,Label for child option in certificate correction form,Child,Enfant
correction.corrector.groom,Label for groom option in certificate correction form,Groom,Marié
correction.corrector.identity.instruction,The title for the corrector form,Please verify the identity of the person making this request,Please verify the identity of the person making this request
correction.corrector.identity.verified,Label for verified option in corrector identity check page,I have verified their identity,I have verified their identity
correction.corrector.identity.verified.label,The title for the corrector form,@todo,@todo
correction.corrector.me,Label for registrar option in certificate correction form,Me,Moi
correction.corrector.others,Label for someone else option in certificate correction form,Someone else,Quelqu'un d'autre
correction.corrector.paragraph.title,The title for the corrector form,"For all record corrections at a minimum an affidavit must be provided. For material errors and omissions eg. in paternity cases, a court order must also be provided.","Pour toutes les corrections de dossiers, il faut au moins fournir un affidavit. Pour les erreurs matérielles et les omissions, par exemple dans les cas de paternité, une décision de justice doit également être fournie."
correction.corrector.title,The title for the corrector form,Correction requester,Qui demande une modification de ce dossier ?
correction.label.verifyIdentity.cancel,Label for cancellation of identity verificationin correction request,No,Non
correction.label.verifyIdentity.confirm,Label for verification of identity in correction request,Yes,Oui
correction.name,Certificate correction section name,Correction,Correction
correction.reason.title,The title for the corrector form,Reason for correction?,Quelle était la raison de la correction?
correction.requester.relationshop.intro.label,The title for the corrector form,Note: In the case that the child is now of legal age (18) then only they should be able to request a change to their birth record.,"Note : Si l'enfant a atteint l'âge légal (18 ans), il est le seul à pouvoir demander une modification de son acte de naissance."
correction.requesterOffice,Correction requester office label,Office,Bureau
correction.submittedBy,Correction submitted by label,Submitter,Déposant
correction.submittedOn,Correction submitted on label,Submitted on,Date de soumission
correction.summary.change,Change link label,Change,Modifier
correction.summary.correction,Correction value table header for certificate correction summary,Correction,Correction
correction.summary.original,Original value table header for certificate correction summary,Original,Original
correction.summary.section.title,Corrections section title,Request correction(s),Corrections
correction.summary.title,Title for certificate correction summary,Correction summary,Résumé de la correction
correction.supportingDocuments.attest.label,Label for attestation of supporting documents,Attest,Attestation
correction.supportingDocuments.notNeeded.label,Label for indicating supporting documents are not needed,Not Needed,Non nécessaire
correction.title,Certificate correction section title,Correct record,Corriger l'enregistrement
countries.ABW,,Aruba,Aruba
countries.AFG,,Afghanistan,Afghanistan
countries.AGO,,Angola,Angola
countries.AIA,,Anguilla,Anguilla
countries.ALA,,Åland Islands,Îles Åland
countries.ALB,,Albania,Albanie
countries.AND,,Andorra,Andorre
countries.ARE,,United Arab Emirates,Emirats Arabes Unis
countries.ARG,,Argentina,Argentine
countries.ARM,,Armenia,Arménie
countries.ASM,,American Samoa,Samoa Américaine
countries.ATA,,Antarctica,Antarctique
countries.ATF,,French Southern Territories,Terres australes françaises
countries.ATG,,Antigua and Barbuda,Antigua et Barbuda
countries.AUS,,Australia,Australie
countries.AUT,,Austria,Autriche
countries.AZE,,Azerbaijan,Azerbaïdjan
countries.BDI,,Burundi,Burundi
countries.BEL,,Belgium,Belgique
countries.BEN,,Benin,Bénin
countries.BES,,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius et Saba"
countries.BFA,,Burkina Faso,Burkina Faso
countries.BGD,,Bangladesh,Bangladesh
countries.BGR,,Bulgaria,Bulgarie
countries.BHR,,Bahrain,Bahreïn
countries.BHS,,Bahamas,Bahamas
countries.BIH,,Bosnia and Herzegovina,Bosnie-Herzégovine
countries.BLM,,Saint Barthélemy,Saint Barthélemy
countries.BLR,,Belarus,Bélarus
countries.BLZ,,Belize,Belize
countries.BMU,,Bermuda,Bermudes
countries.BOL,,Bolivia (Plurinational State of),Bolivie (État plurinational de)
countries.BRA,,Brazil,Brésil
countries.BRB,,Barbados,Barbade
countries.BRN,,Brunei Darussalam,Brunei Darussalam
countries.BTN,,Bhutan,Bhoutan
countries.BVT,,Bouvet Island,"Bouvet, île"
countries.BWA,,Botswana,Botswana
countries.CAF,,Central African Republic,République Centrafricaine
countries.CAN,,Canada,Canada
countries.CCK,,Cocos (Keeling) Islands,"Cocos (Keeling), îles"
countries.CHE,,Switzerland,Suisse
countries.CHL,,Chile,Chili
countries.CHN,,China,Chine
countries.CIV,,Côte d'Ivoire,Côte d'Ivoire
countries.CMR,,Cameroon,Cameroun
countries.COD,,Democratic Republic of the Congo,République démocratique du Congo
countries.COG,,Congo,Congo
countries.COK,,Cook Islands,Cook Islands
countries.COL,,Colombia,Colombie
countries.COM,,Comoros,Comores
countries.CPV,,Cabo Verde,Cabo Verde
countries.CRI,,Costa Rica,Costa Rica
countries.CUB,,Cuba,Cuba
countries.CUW,,Curaçao,Curaçao
countries.CXR,,Christmas Island,Île Christmas
countries.CYM,,Cayman Islands,Caïmans (îles)
countries.CYP,,Cyprus,Chypre
countries.CZE,,Czechia,Tchécoslovaquie
countries.DEU,,Germany,Allemagne
countries.DJI,,Djibouti,Djibouti
countries.DMA,,Dominica,Dominique
countries.DNK,,Denmark,Danemark
countries.DOM,,Dominican Republic,République Dominicaine
countries.DZA,,Algeria,Algérie
countries.ECU,,Ecuador,Équateur
countries.EGY,,Egypt,Égypte
countries.ERI,,Eritrea,Érythrée
countries.ESH,,Western Sahara,Sahara occidental
countries.ESP,,Spain,Espagne
countries.EST,,Estonia,Estonie
countries.ETH,,Ethiopia,Éthiopie
countries.FAR,,Farajaland,Farajaland
countries.FIN,,Finland,Finlande
countries.FJI,,Fiji,Fidji
countries.FLK,,Falkland Islands (Malvinas),Falkland Islands (Malvinas)
countries.FRA,,France,France
countries.FRO,,Faroe Islands,Îles Féroé
countries.FSM,,Micronesia (Federated States of),Micronésie (Etats fédérés de)
countries.GAB,,Gabon,Gabon
countries.GBR,,United Kingdom of Great Britain and Northern Ireland,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
countries.GEO,,Georgia,Géorgie
countries.GGY,,Guernsey,Guernesey
countries.GHA,,Ghana,Ghana
countries.GIB,,Gibraltar,Gibraltar
countries.GIN,,Guinea,Guinée
countries.GLP,,Guadeloupe,Guadeloupe
countries.GMB,,Gambia,Gambie
countries.GNB,,Guinea-Bissau,Guinée-Bissau
countries.GNQ,,Equatorial Guinea,Guinée équatoriale
countries.GRC,,Greece,Grèce
countries.GRD,,Grenada,Grenade
countries.GRL,,Greenland,Groenland
countries.GTM,,Guatemala,Guatemala
countries.GUF,,French Guiana,Guyane française
countries.GUM,,Guam,Guam
countries.GUY,,Guyana,Guyane
countries.HKG,,"China, Hong Kong Special Administrative Region","Chine, région administrative spéciale de Hong Kong"
